timestamp,latitude,longitude
1749572185,-39.2063,155.7003
1749572198,-38.7004,156.5079
1749572208,-38.3069,157.1209
1749572218,-37.9099,157.7267
1749572236,-37.2066,158.7702
1749572261,-36.1841,160.2251
1749572271,-35.7695,160.7955
1749572281,-35.3518,161.3596
1749572298,-34.6137,162.3319
1749572309,-34.1452,162.9335
1749572320,-33.7163,163.4742
1749572333,-33.1547,164.1684
1749572350,-32.4138,165.0618
1749572360,-31.9744,165.5799
1749572377,-31.2221,166.4485
1749572387,-30.7539,166.9776
1749572400,-30.1708,167.6249
1749572551,-23.1581,174.5972
1749572561,-22.6804,175.0281
1749572571,-22.2014,175.4558
1749572613,-20.1749,177.2181
1749572623,-19.6892,177.6301
1749572634,-19.2024,178.0393
1749572651,-18.3723,178.7290
1749572676,-17.1461,179.7301
1749572701,-15.8892,-179.2637
1749572719,-15.0232,-178.5813
1749572729,-14.5272,-178.1940
1749572739,-14.0305,-177.8087
1749572749,-13.5330,-177.4253
1749572759,-13.0349,-177.0437
1749572769,-12.5360,-176.6637
1749572779,-12.0364,-176.2853
1749572792,-11.3860,-175.7958
1749572802,-10.8850,-175.4210
1749572812,-10.3834,-175.0474
1749572822,-9.8813,-174.6753
1749572832,-9.3787,-174.3044
1749572842,-8.8755,-173.9346
1749572852,-8.3720,-173.5661
1749572865,-7.6915,-173.0701
1749572875,-7.1869,-172.7039
1749572892,-6.3284,-172.0834
1749572902,-5.8229,-171.7194
1749572912,-5.3171,-171.3562
1749572922,-4.8109,-170.9936
1749572933,-4.3046,-170.6316
1749572943,-3.7980,-170.2701
1749572953,-3.2913,-169.9092
1749572963,-2.7843,-169.5485
1749572973,-2.2773,-169.1883
1749572983,-1.7701,-168.8284
1749573000,-0.8823,-168.1989
1749573010,-0.3749,-167.8394
1749573052,1.7561,-166.3291
1749573063,2.3141,-165.9331
1749573074,2.8719,-165.5367
1749573091,3.7337,-164.9233
1749573101,4.2403,-164.5618
1749573111,4.7469,-164.1997
1749573137,6.0374,-163.2737
1749573162,7.3259,-162.3428
1749573180,8.2089,-161.7004
1749573205,9.4681,-160.7771
1749573230,10.7495,-159.8274
1749573248,11.6268,-159.1705
1749573258,12.1273,-158.7931
1749573268,12.6272,-158.4141
1749573293,13.8739,-157.4592
1749573319,15.1409,-156.4733
1749573336,16.0074,-155.7892
1749573346,16.5014,-155.3953
1749573356,16.9944,-154.9992
1749573381,18.2229,-153.9986
1749573391,18.7126,-153.5940
1749573401,19.2011,-153.1868
1749573411,19.6886,-152.7770
1749573428,20.5147,-152.0738
1749573438,20.9990,-151.6563
1749573450,21.5545,-151.1724
1749573460,22.0361,-150.7484
1749573470,22.5164,-150.3211
1749573511,24.4946,-148.5119
1749573522,25.0146,-148.0220
1749573532,25.4857,-147.5727
1749573542,25.9551,-147.1196
1749573552,26.4227,-146.6625
1749573563,26.8888,-146.2013
1749573573,27.3530,-145.7359
1749573584,27.8615,-145.2190
1749573594,28.3217,-144.7446
1749573604,28.7800,-144.2657
1749573615,29.2818,-143.7335
1749573625,29.7358,-143.2447
1749573650,30.8837,-141.9764
1749573676,32.0167,-140.6749
1749573693,32.7632,-139.7878
1749573710,33.5023,-138.8846
1749573784,36.6451,-134.7211
1749573797,37.1759,-133.9582
1749573807,37.5803,-133.3634
1749573824,38.2599,-132.3363
1749573841,38.9289,-131.2887
1749573851,39.3175,-130.6625
1749573861,39.7021,-130.0289
1749573872,40.1018,-129.3555
1749573882,40.4782,-128.7064
1749573892,40.8505,-128.0495
1749573903,41.2551,-127.3177
1749573913,41.6183,-126.6442
1749573923,41.9769,-125.9626
1749573933,42.3311,-125.2728
1749573943,42.6805,-124.5747
1749573960,43.2634,-123.3690
1749573977,43.8317,-122.1388
1749573987,44.1590,-121.4037
1749573997,44.4810,-120.6600
1749574007,44.7976,-119.9075
1749574018,45.1394,-119.0697
1749574029,45.4592,-118.2602
1749574039,45.7578,-117.4802
1749574049,46.0504,-116.6915
1749574059,46.3370,-115.8940
1749574069,46.6173,-115.0878
1749574086,47.0793,-113.6970
1749574096,47.3423,-112.8672
1749574106,47.5986,-112.0287
1749574123,48.0185,-110.5839
1749574136,48.3376,-109.4191
1749574146,48.5654,-108.5467
1749574156,48.7860,-107.6660
1749574166,48.9992,-106.7774
1749574176,49.2048,-105.8809
1749574187,49.4028,-104.9765
1749574197,49.5929,-104.0648
1749574222,50.0417,-101.7072
1749574232,50.2033,-100.7705
1749574242,50.3567,-99.8270
1749574252,50.5016,-98.8777
1749574263,50.6512,-97.8264
1749574273,50.7783,-96.8649
1749574290,50.9743,-95.2183
1749574300,51.0777,-94.2433
1749574310,51.1723,-93.2638
1749574320,51.2579,-92.2804
1749574330,51.3346,-91.2933
1749574341,51.4084,-90.2037
1749574351,51.4660,-89.2103
1749574362,51.5166,-88.1646
1749574379,51.5771,-86.4669
1749574396,51.6109,-84.7659
1749574406,51.6182,-83.7643
1749574416,51.6164,-82.7627
1749574426,51.6052,-81.7612
1749574436,51.5848,-80.7605
1749574449,51.5445,-79.4613
1749574459,51.5029,-78.4639
1749574469,51.4522,-77.4686
1749574479,51.3890,-76.4261
1749574490,51.3195,-75.4364
1749574500,51.2410,-74.4499
1749574517,51.0869,-72.7816
1749574527,50.9843,-71.8061
1749574537,50.8729,-70.8352
1749574547,50.7527,-69.8694
1749574558,50.6106,-68.8131
1749574583,50.2492,-66.4389
1749574600,49.9652,-64.8002
1749574617,49.6654,-63.2286
1749574627,49.4784,-62.3138
1749574637,49.2834,-61.4063
1749574663,48.7517,-59.1274
1749574688,48.1717,-56.9007
1749574698,47.9315,-56.0422
1749574708,47.6843,-55.1922
1749574718,47.4303,-54.3507
1749574728,47.1697,-53.5179
1749574738,46.9023,-52.6937
1749574748,46.6285,-51.8782
1749574758,46.3484,-51.0715
1749574772,45.9604,-49.9962
1749574782,45.6658,-49.2100
1749574792,45.3654,-48.4327
1749574802,45.0591,-47.6640
1749574813,44.7155,-46.8285
1749574830,44.1716,-45.5579
1749574843,43.7451,-44.6032
1749574853,43.4112,-43.8786
1749574895,41.9545,-40.9272
1749574969,39.1954,-36.0723
1749574980,38.7664,-35.3864
1749574990,38.3725,-34.7703
1749575001,37.9549,-34.1312
1749575011,37.5536,-33.5298
1749575022,37.1081,-32.8762
1749575039,36.4117,-31.8822
1749575049,35.9977,-31.3064
1749575059,35.5806,-30.7372
1749575069,35.1603,-30.1743
1749575079,34.7372,-29.6177
1749575090,34.2684,-29.0125
1749575107,33.5371,-28.0913
1749575149,31.6979,-25.8863
1749575191,29.8162,-23.7752
1749575208,29.0435,-22.9454
1749575218,28.5863,-22.4637
1749575228,28.1270,-21.9864
1749575246,27.3187,-21.1620
1749575257,26.8076,-20.6505
1749575267,26.3412,-20.1898
1749575280,25.7322,-19.5970
1749575290,25.2618,-19.1455
1749575331,23.2928,-17.3116
1749575341,22.8146,-16.8788
1749575383,20.8154,-15.1173
1749575394,20.2576,-14.6384
1749575404,19.7711,-14.2251
1749575415,19.2837,-13.8145
1749575425,18.7951,-13.4067
1749575450,17.5690,-12.3985
1749575492,15.4956,-10.7378
1749575505,14.8508,-10.2315
1749575515,14.3538,-9.8444
1749575557,12.2587,-8.2383
1749575574,11.4074,-7.5966
1749575591,10.5544,-6.9593
1749575608,9.6747,-6.3072
1749575633,8.4154,-5.3822
1749575643,7.9108,-5.0142
1749575653,7.4060,-4.6472
1749575671,6.5216,-4.0071
1749575688,5.6615,-3.3877
1749575705,4.8005,-2.7703
1749575715,4.2938,-2.4081
1749575733,3.4066,-1.7753
1749575743,2.8994,-1.4144
1749575760,2.0368,-0.8017
1749575770,1.5293,-0.4415
1749575780,1.0217,-0.0817
1749575790,0.5141,0.2781
1749575800,0.0064,0.6378
1749575813,-0.6535,1.1053
1749575830,-1.5164,1.7170
1749575847,-2.4044,2.3472
1749575857,-2.9117,2.7077
1749575867,-3.4188,3.0686
1749575884,-4.2805,3.6831
1749575895,-4.8377,4.0814
1749575905,-5.3440,4.4442
1749575918,-6.0017,4.9168
1749575928,-6.5073,5.2812
1749575954,-7.7952,6.2144
1749575996,-9.9102,7.7656
1749576006,-10.4126,8.1380
1749576016,-10.9144,8.5118
1749576058,-13.0152,10.0977
1749576068,-13.5137,10.4795
1749576081,-14.1605,10.9784
1749576098,-15.0045,11.6357
1749576108,-15.4999,12.0250
1749576118,-15.9945,12.4164
1749576129,-16.5128,12.8297
1749576142,-17.1531,13.3448
1749576159,-17.9878,14.0242
1749576169,-18.4775,14.4271
1749576179,-18.9661,14.8326
1749576189,-19.4537,15.2408
1749576199,-19.9401,15.6516
1749576216,-20.7886,16.3774
1749576226,-21.2717,16.7961
1749576236,-21.7536,17.2179
1749576246,-22.2341,17.6427
1749576256,-22.7133,18.0708
1749576266,-23.1911,18.5021
1749576277,-23.7150,18.9805
1749576288,-24.2371,19.4631
1749576298,-24.7102,19.9056
1749576308,-25.1816,20.3518
1749576325,-25.9793,21.1190
1749576335,-26.4464,21.5757
1749576345,-26.9116,22.0364
1749576357,-27.4444,22.5713
1749576367,-27.9056,23.0410
1749576378,-28.4108,23.5626
1749576388,-28.8679,24.0416
1749576413,-30.0019,25.2594
1749576431,-30.7877,26.1300
1749576448,-31.5443,26.9904
1749576490,-33.3832,29.1820
1749576507,-34.1145,30.0973
1749576518,-34.5834,30.6987
1749576528,-35.0067,31.2517
1749576539,-35.4688,31.8671
1749576549,-35.8859,32.4333
1749576566,-36.6081,33.4395
1749576576,-37.0163,34.0235
1749576586,-37.4212,34.6142
1749576599,-37.9423,35.3923
1749576609,-38.3393,35.9989
1749576622,-38.8498,36.7981
1749576632,-39.2382,37.4213
1749576658,-40.2112,39.0439
1749576668,-40.5856,39.6938
1749576678,-40.9558,40.3513
1749576704,-41.8800,42.0635
1749576714,-42.2345,42.7492
1749576724,-42.5843,43.4430
1749576734,-42.9294,44.1451
1749576744,-43.2695,44.8555
1749576769,-44.1141,46.7053
1749576782,-44.5315,47.6697
1749576792,-44.8464,48.4213
1749576809,-45.3688,49.7190
1749576883,-47.4404,55.6602
1749576896,-47.7680,56.7526
1749576906,-48.0120,57.6028
1749576916,-48.2491,58.4612
1749576926,-48.4791,59.3279
1749576936,-48.7019,60.2027
1749576953,-49.0637,61.7082
1749576971,-49.4133,63.2815
1749576982,-49.6209,64.2821
1749576992,-49.8015,65.1994
1749577002,-49.9740,66.1237
1749577012,-50.1384,67.0546
1749577022,-50.2946,67.9922
1749577032,-50.4426,68.9361
1749577045,-50.6223,70.1720
1749577056,-50.7632,71.2252
1749577066,-50.8823,72.1882
1749577076,-50.9927,73.1562
1749577086,-51.0943,74.1288
1749577097,-51.1915,75.1546
1749577114,-51.3280,76.8244
1749577131,-51.4386,78.5035
1749577141,-51.4914,79.4948
1749577151,-51.5351,80.4883
1749577168,-51.5884,82.1811
1749577178,-51.6074,83.1786
1749577188,-51.6172,84.1766
1749577198,-51.6178,85.1749
1749577215,-51.5967,86.9215
1749577225,-51.5720,87.9183
1749577235,-51.5381,88.9138
1749577260,-51.4135,91.3936
1749577278,-51.2926,93.1198
1749577295,-51.1489,94.7865
1749577305,-51.0523,95.7617
1749577315,-50.9470,96.7324
1749577325,-50.8330,97.6983
1749577335,-50.7103,98.6590
1749577345,-50.5790,99.6143
1749577362,-50.3364,101.2252
1749577404,-49.6351,105.1258
1749577417,-49.3895,106.3079
1749577427,-49.1917,107.2086
1749577440,-48.9231,108.3682
1749577450,-48.7080,109.2511
1749577460,-48.4854,110.1262
1749577470,-48.2557,110.9929
1749577488,-47.8366,112.4899
1749577498,-47.5876,113.3338
1749577508,-47.3318,114.1692
1749577518,-47.0694,114.9961
1749577528,-46.8005,115.8142
1749577538,-46.5252,116.6237
1749577555,-46.0429,117.9799
1749577572,-45.5431,119.3110
1749577583,-45.2106,120.1589
